time,filter,magnitude,error
2457547.56828,OGLE-I,13.713,0.003
2457547.58226,OGLE-I,13.718,0.003
2457547.59642,OGLE-I,13.721,0.003
2457547.61031,OGLE-I,13.718,0.003
2457547.62465,OGLE-I,13.718,0.003
2457547.63892,OGLE-I,13.72,0.003
2457547.6532,OGLE-I,13.722,0.003
2457547.67057,OGLE-I,13.722,0.003
2457547.68894,OGLE-I,13.719,0.003
2457547.70628,OGLE-I,13.714,0.003
2457547.72035,OGLE-I,13.723,0.003
2457547.7348,OGLE-I,13.716,0.003
2457547.75276,OGLE-I,13.721,0.003
2457547.76676,OGLE-I,13.716,0.003
2457547.78076,OGLE-I,13.706,0.003
2457547.79486,OGLE-I,13.72,0.003
2457547.80898,OGLE-I,13.718,0.003
2457547.82316,OGLE-I,13.72,0.003
2457547.83734,OGLE-I,13.721,0.003
2457547.85142,OGLE-I,13.72,0.003
2457547.86546,OGLE-I,13.716,0.003
2457547.87939,OGLE-I,13.718,0.003
2457547.89339,OGLE-I,13.718,0.003
2457547.90733,OGLE-I,13.713,0.003
2457547.92569,OGLE-I,13.718,0.003
2457547.93499,OGLE-I,13.719,0.003
2457548.56277,OGLE-I,13.721,0.003
2457548.58742,OGLE-I,13.718,0.003
2457548.60236,OGLE-I,13.719,0.003
2457548.61768,OGLE-I,13.714,0.003
2457548.63491,OGLE-I,13.721,0.003
2457548.6518,OGLE-I,13.721,0.003
2457548.66469,OGLE-I,13.711,0.003
2457548.67822,OGLE-I,13.722,0.003
2457548.69805,OGLE-I,13.719,0.003
2457548.71319,OGLE-I,13.722,0.003
2457548.72907,OGLE-I,13.722,0.003
2457548.74234,OGLE-I,13.729,0.003
2457548.75849,OGLE-I,13.722,0.003
2457548.77136,OGLE-I,13.712,0.003
2457548.78693,OGLE-I,13.723,0.003
2457548.8006,OGLE-I,13.719,0.003
2457548.8213,OGLE-I,13.721,0.003
2457548.836,OGLE-I,13.72,0.003
2457548.84969,OGLE-I,13.721,0.003
2457548.86487,OGLE-I,13.72,0.003
2457548.87873,OGLE-I,13.719,0.003
2457548.89262,OGLE-I,13.719,0.003
2457548.90774,OGLE-I,13.716,0.003
2457548.92309,OGLE-I,13.719,0.003
2457549.56921,OGLE-I,13.714,0.003
2457549.58408,OGLE-I,13.719,0.003
2457549.59555,OGLE-I,13.716,0.003
2457549.61066,OGLE-I,13.718,0.003
2457549.62207,OGLE-I,13.719,0.003
2457549.636,OGLE-I,13.721,0.003
2457549.65005,OGLE-I,13.719,0.003
2457549.66802,OGLE-I,13.72,0.003
2457549.68256,OGLE-I,13.719,0.003
2457549.69966,OGLE-I,13.721,0.003
2457549.714,OGLE-I,13.72,0.003
2457549.72885,OGLE-I,13.717,0.003
2457549.74386,OGLE-I,13.719,0.003
2457549.75823,OGLE-I,13.718,0.003
2457549.7722,OGLE-I,13.707,0.003
2457549.79198,OGLE-I,13.706,0.003
2457549.80594,OGLE-I,13.716,0.003
2457549.81997,OGLE-I,13.719,0.003
2457549.83398,OGLE-I,13.717,0.003
2457549.84801,OGLE-I,13.715,0.003
